listing_id,date
30491897,2023-05-02
30491897,2023-07-10
30491897,2023-07-25
30491897,2023-08-01
30491897,2023-08-06
30685436,2019-01-03
30685436,2019-03-29
30685436,2019-04-07
30685436,2019-05-17
30685436,2019-06-02
30685436,2019-06-10
30685436,2019-07-15
30685436,2019-08-05
30685436,2019-09-08
30685436,2020-01-02
30685436,2021-10-20
30685436,2021-10-24
30685436,2022-01-21
30685436,2022-03-24
30685436,2022-04-19
30685436,2022-04-24
30685436,2022-05-19
30685436,2022-06-12
30685436,2022-06-15
30685436,2022-06-19
30685436,2022-06-27
30685436,2022-07-11
30685436,2022-08-28
30685436,2022-09-12
30685436,2023-01-15
30685436,2023-02-19
30685436,2024-01-01
30685436,2024-04-02
30685436,2024-04-07
30685436,2024-04-22
30685436,2024-04-30
30685436,2024-05-11
30685436,2024-05-21
30762582,2018-12-30
30762582,2019-12-28
30762582,2019-12-31
30762582,2020-01-02
30762582,2022-07-24
30762582,2022-07-31
30762582,2022-08-07
30762582,2022-08-11
30762582,2022-08-14
30762582,2023-09-26
30762582,2023-11-01
30762582,2023-11-16
30762582,2024-01-08
30762582,2024-02-16
30762582,2024-05-04
30762582,2024-05-15
30762582,2024-05-29
30762582,2024-06-10
30788101,2019-03-06
30788101,2019-10-05
30788101,2021-12-17
30843097,2019-01-02
30843097,2020-01-02
30843097,2020-08-26
30843097,2021-05-24
30843097,2022-02-27
30843097,2022-03-01
30843097,2022-06-19
30843097,2022-09-18
30843097,2023-04-10
30843097,2023-04-23
30843097,2023-04-30
30843097,2023-12-04
30843097,2024-01-16
30843097,2024-01-30
30843097,2024-02-24
30843097,2024-02-26
30843097,2024-03-03
30843097,2024-05-23
30917464,2020-08-11
30917464,2021-07-31
30917464,2023-05-21
30957876,2019-01-02
30957876,2023-01-29
31079227,2022-05-01
31079227,2022-08-21
31079227,2022-08-26
31079227,2023-03-12
31079227,2023-03-26
31079227,2023-05-15
31079227,2023-08-12
31079227,2023-08-21
31079227,2023-09-17
31131206,2019-06-01
31131206,2019-09-04
31131206,2019-09-06
31131206,2019-10-15
31131206,2020-08-31
31131206,2022-05-16
31131206,2022-05-19
31131206,2022-05-28
31131206,2022-07-11
31131206,2022-08-28
31131206,2022-09-23
31131206,2022-11-30
31131206,2023-01-30
31131206,2023-06-08
31131206,2024-02-25
31131206,2024-04-21
31140086,2019-03-17
31140086,2019-04-07
31140086,2019-04-12
31140086,2019-04-20
31140086,2019-04-22
31140086,2019-04-28
31140086,2019-06-02
31140086,2019-07-15
31140086,2019-07-29
31140086,2020-02-02
31140086,2020-06-07
31140086,2020-07-01
31140086,2020-08-02
31140086,2021-07-13
31140086,2021-08-08
31140086,2021-09-05
31140086,2022-04-11
31140086,2022-07-02
31140086,2022-07-11
31140086,2022-08-15
31140086,2022-08-22
31140086,2022-09-07
31140086,2022-09-25
31140086,2022-10-02
31140086,2022-10-12
31140086,2022-10-16
31140086,2022-10-30
31140086,2022-11-06
31140086,2023-06-07
31140086,2023-06-19
31140086,2023-06-23
31140086,2023-06-25
31140086,2023-07-13
31140086,2023-07-16
31140086,2023-07-21
31140086,2023-09-09
31140086,2023-10-02
31140086,2023-10-04
31140086,2023-11-05
31140086,2023-12-03
31427490,2019-03-01
31427490,2019-03-03
31427490,2019-04-09
31427490,2019-04-11
31427490,2019-04-17
31427490,2019-04-22
31427490,2019-04-25
31427490,2019-05-03
31427490,2019-05-07
31427490,2019-05-11
31427490,2019-05-18
31427490,2019-05-21
31427490,2019-05-24
31427490,2019-05-28
31427490,2019-05-31
31427490,2019-06-10
31427490,2019-06-13
31427490,2019-06-16
31427490,2019-06-20
31427490,2019-06-24
31427490,2019-07-15
31427490,2019-07-23
31427490,2019-07-27
31427490,2019-08-29
31427490,2019-09-20
31427490,2020-01-11
31427490,2020-01-19
31427490,2020-01-24
31427490,2020-01-29
31427490,2020-02-08
31427490,2020-02-13
31427490,2020-02-17
31427490,2020-02-24
31427490,2020-03-01
31427490,2020-03-05
31427490,2020-03-14
31427490,2020-07-01
31427490,2020-07-14
31427490,2020-07-16
31427490,2020-07-25
31427490,2020-07-29
31427490,2020-08-01
31427490,2020-08-09
31427490,2020-08-15
31427490,2020-08-23
31427490,2020-08-31
31427490,2020-09-07
31427490,2020-09-20
31427490,2021-05-16
31427490,2021-05-24
31427490,2021-07-04
31427490,2021-07-15
31427490,2021-07-18
31427490,2021-07-23
31427490,2021-07-28
31427490,2021-08-06
31427490,2021-08-11
31427490,2021-08-16
31427490,2021-08-25
31427490,2021-08-30
31427490,2021-09-14
31427490,2021-10-04
31427490,2021-10-12
31427490,2021-10-17
31427490,2021-10-24
31427490,2021-11-01
31427490,2021-11-15
31427490,2021-11-29
31427490,2022-03-27
31427490,2022-04-03
31427490,2022-04-10
31427490,2022-05-02
31427490,2022-05-09
31427490,2022-05-15
31427490,2022-05-23
31427490,2022-06-12
31427490,2022-06-18
31427490,2022-06-20
31427490,2022-06-26
31427490,2022-08-07
31427490,2022-08-11
31427490,2022-08-15
31427490,2022-08-18
31427490,2022-08-22
31427490,2022-09-01
31427490,2022-09-11
31427490,2022-09-24
31427490,2022-10-10
31427490,2022-10-30
31427490,2022-11-06
31427490,2023-05-21
31427490,2023-05-29
31427490,2023-06-04
31427490,2023-06-11
31427490,2023-06-19
31427490,2023-07-10
31427490,2023-07-16
31427490,2023-07-31
31427490,2023-08-06
31427490,2023-08-13
31713398,2019-02-09
31713398,2019-07-04
31713398,2019-07-12
31713398,2019-07-15
31713398,2019-07-21
31713398,2019-07-30
31713398,2019-08-07
31713398,2019-09-01
31713398,2019-09-23
31713398,2020-01-02
31713398,2020-03-15
31713398,2020-09-20
31713398,2021-07-29
31713398,2021-08-07
31926616,2019-04-07
31926616,2019-06-25
31926616,2019-07-14
31926616,2019-08-19
31926616,2022-08-01
31926616,2022-08-16
31926616,2022-08-24
31926616,2022-08-29
32027137,2019-09-01
32027137,2019-09-07
32027137,2019-09-15
32027137,2019-09-22
32027137,2019-09-29
32027137,2019-10-04
32027137,2019-10-13
32027137,2019-10-21
32027137,2019-10-25
32027137,2019-10-27
32027137,2019-11-22
32027137,2019-11-24
32027137,2019-11-30
32027137,2019-12-01
32027137,2019-12-19
32027137,2019-12-20
32027137,2019-12-22
32027137,2019-12-27
32027137,2019-12-29
32027137,2020-01-01
32027137,2020-01-04
32027137,2020-01-24
32027137,2020-01-27
32027137,2020-02-08
32027137,2020-03-06
32027137,2020-03-08
32027137,2020-05-02
32027137,2020-05-10
32027137,2020-05-24
32027137,2020-05-28
32027137,2020-06-01
32027137,2020-06-14
32027137,2020-06-19
32027137,2020-06-20
32027137,2020-06-26
32027137,2020-06-29
32027137,2020-07-01
32027137,2020-07-04
32027137,2020-07-06
32027137,2020-07-12
32027137,2020-07-17
32027137,2020-07-23
32027137,2020-07-26
32027137,2020-08-03
32027137,2020-08-09
32027137,2020-08-19
32027137,2020-08-22
32027137,2020-08-23
32027137,2020-09-04
32027137,2020-09-07
32027137,2020-09-10
32027137,2020-09-11
32027137,2020-09-12
32027137,2020-09-15
32027137,2020-09-18
32027137,2020-09-19
32027137,2020-09-21
32027137,2020-09-27
32027137,2020-10-06
32027137,2020-10-11
32027137,2020-10-25
32027137,2020-10-26
32027137,2020-10-31
32027137,2020-11-21
32027137,2020-11-22
32027137,2020-11-29
32027137,2020-11-30
32027137,2020-12-13
32027137,2020-12-24
32027137,2020-12-28
32027137,2021-01-02
32027137,2021-01-06
32027137,2021-01-10
32027137,2021-01-24
32027137,2021-02-01
32027137,2021-02-05
32027137,2021-02-06
32027137,2021-02-10
32027137,2021-02-14
32027137,2021-02-15
32027137,2021-02-19
32027137,2021-02-21
32027137,2021-02-24
32027137,2021-02-26
32027137,2021-02-28
32027137,2021-03-05
32027137,2021-03-07
32027137,2021-03-09
32027137,2021-03-16
32027137,2021-03-22
32027137,2021-04-11
32027137,2021-04-12
32027137,2021-04-17
32027137,2021-04-18
32027137,2021-04-22
32027137,2021-04-23
32027137,2021-04-27
32027137,2021-05-02
32027137,2021-05-16
32027137,2021-05-23
32027137,2021-06-06
32027137,2021-06-12
32027137,2021-06-25
32027137,2021-06-27
32027137,2021-07-04
32027137,2021-07-18
32027137,2021-07-19
32027137,2021-07-22
32027137,2021-08-06
32027137,2021-08-12
32027137,2021-08-16
32027137,2021-08-19
32027137,2021-08-22
32027137,2021-09-09
32027137,2021-09-12
32027137,2021-09-19
32027137,2021-09-27
32027137,2021-10-03
32027137,2021-10-10
32027137,2021-10-14
32027137,2021-10-22
32027137,2021-10-26
32027137,2021-10-31
32027137,2021-11-05
32027137,2021-11-07
32027137,2021-11-13
32027137,2021-11-18
32027137,2021-11-21
32027137,2021-11-23
32027137,2021-12-18
32027137,2022-03-08
32027137,2022-03-21
32027137,2022-03-28
32027137,2022-04-08
32027137,2022-04-12
32027137,2022-04-20
32027137,2022-04-29
32027137,2022-05-11
32027137,2022-05-18
32027137,2022-05-29
32027137,2022-06-02
32027137,2022-06-08
32027137,2022-06-10
32027137,2022-06-14
32027137,2022-06-19
32027137,2022-06-22
32027137,2022-06-26
32027137,2022-06-29
32027137,2022-07-11
32027137,2022-07-18
32027137,2022-07-28
32027137,2022-08-13
32027137,2022-08-22
32027137,2022-08-26
32027137,2022-08-31
32027137,2022-09-17
32027137,2022-09-22
32027137,2022-10-04
32027137,2022-10-17
32027137,2022-10-24
32027137,2022-11-08
32027137,2022-11-14
32027137,2022-11-27
32027137,2023-01-02
32027137,2023-02-13
32027137,2023-03-10
32027137,2023-03-17
32027137,2023-03-24
32027137,2023-04-02
32027137,2023-04-07
32027137,2023-04-20
32027137,2023-04-23
32027137,2023-04-26
32027137,2023-04-30
32027137,2023-05-03
32027137,2023-05-06
32027137,2023-05-13
32027137,2023-05-18
32027137,2023-05-27
32027137,2023-06-01
32027137,2023-06-05
32027137,2023-06-10
32027137,2023-06-17
32027137,2023-06-29
32027137,2023-07-10
32027137,2023-07-21
32027137,2023-07-24
32027137,2023-08-19
32027137,2023-08-27
32027137,2023-09-05
32027137,2023-09-09
32027137,2023-09-24
32027137,2023-10-06
32027137,2023-10-12
32027137,2023-10-15
32027137,2023-11-04
32027137,2023-11-10
32027137,2023-11-13
32027137,2023-11-19
32027137,2023-11-23
32027137,2023-12-03
32027137,2024-01-06
32027137,2024-01-21
32027137,2024-02-26
32027137,2024-03-15
32027137,2024-03-22
32027137,2024-03-28
32027137,2024-04-12
32027137,2024-04-20
32027137,2024-04-25
32027137,2024-05-01
32027137,2024-05-05
32027137,2024-05-09
32027137,2024-05-12
32027137,2024-05-18
32027137,2024-05-26
32027137,2024-06-01
32027137,2024-06-07
32155886,2019-02-28
32155886,2019-04-19
32155886,2020-01-08
32155886,2021-03-23
32155886,2022-08-20
32155886,2023-01-03
32155886,2023-01-16
33003728,2019-06-02
33003728,2019-06-16
33003728,2019-07-15
33003728,2019-07-28
33003728,2019-09-29
33003728,2019-10-20
33003728,2019-11-17
33003728,2021-07-04
33003728,2021-09-19
33003728,2021-11-24
33003728,2022-04-03
33003728,2022-05-09
33003728,2022-05-15
33003728,2023-01-01
33003728,2023-06-20
33003728,2023-07-18
33003728,2023-10-02
33003728,2023-11-12
33003728,2024-01-17
33003728,2024-01-22
33003728,2024-02-02
33003728,2024-03-17
33003728,2024-06-17
33083907,2019-09-01
33083907,2019-09-08
33083907,2019-09-15
33083907,2019-09-22
33083907,2019-09-30
33083907,2019-10-07
33083907,2019-10-13
33083907,2019-10-19
33083907,2019-10-20
33083907,2019-10-27
33083907,2019-10-30
33083907,2019-11-10
33083907,2019-11-24
33083907,2019-12-30
33083907,2020-01-04
33083907,2020-02-09
33083907,2020-02-16
33083907,2020-02-27
33083907,2020-03-03
33083907,2020-03-15
33083907,2020-04-10
33083907,2020-04-25
33083907,2020-04-28
33083907,2020-05-07
33083907,2020-05-21
33083907,2020-05-24
33083907,2020-06-03
33083907,2020-06-06
33083907,2020-06-10
33083907,2020-06-14
33083907,2020-06-29
33083907,2020-07-07
33083907,2020-07-08
33083907,2020-07-26
33083907,2020-08-05
33083907,2020-08-12
33083907,2020-08-16
33083907,2020-08-23
33083907,2020-08-25
33083907,2020-09-11
33083907,2020-09-18
33083907,2020-09-20
33083907,2020-09-25
33083907,2020-10-15
33083907,2020-10-19
33083907,2020-10-25
33083907,2020-10-29
33083907,2020-11-01
33083907,2020-11-15
33083907,2020-11-17
33083907,2020-11-21
33083907,2020-11-27
33083907,2020-12-01
33083907,2020-12-06
33083907,2020-12-18
33083907,2020-12-19
33083907,2020-12-21
33083907,2020-12-28
33083907,2020-12-31
33083907,2021-01-01
33083907,2021-01-10
33083907,2021-01-14
33083907,2021-01-16
33083907,2021-01-20
33083907,2021-01-21
33083907,2021-01-24
33083907,2021-01-27
33083907,2021-02-01
33083907,2021-02-05
33083907,2021-02-07
33083907,2021-02-16
33083907,2021-02-21
33083907,2021-02-25
33083907,2021-02-27
33083907,2021-03-01
33083907,2021-03-10
33083907,2021-03-14
33083907,2021-03-25
33083907,2021-03-28
33083907,2021-04-04
33083907,2021-04-05
33083907,2021-04-07
33083907,2021-04-17
33083907,2021-04-23
33083907,2021-04-25
33083907,2021-04-29
33083907,2021-05-01
33083907,2021-05-04
33083907,2021-05-07
33083907,2021-05-11
33083907,2021-05-13
33083907,2021-05-16
33083907,2021-05-22
33083907,2021-05-25
33083907,2021-05-31
33083907,2021-06-05
33083907,2021-06-12
33083907,2021-06-13
33083907,2021-07-09
33083907,2021-07-18
33083907,2021-07-27
33083907,2021-07-30
33083907,2021-08-03
33083907,2021-08-14
33083907,2021-08-16
33083907,2021-08-25
33083907,2021-08-30
33083907,2021-09-12
33083907,2021-09-15
33083907,2021-09-21
33083907,2021-09-26
33083907,2021-09-29
33083907,2021-10-04
33083907,2021-10-06
33083907,2021-10-18
33083907,2021-10-20
33083907,2021-10-25
33083907,2021-11-01
33083907,2021-11-07
33083907,2021-11-14
33083907,2021-11-22
33083907,2021-11-25
33083907,2021-12-11
33083907,2021-12-26
33083907,2022-01-09
33083907,2022-02-21
33083907,2022-02-27
33083907,2022-03-24
33083907,2022-04-01
33083907,2022-04-04
33083907,2022-04-07
33083907,2022-04-12
33083907,2022-04-22
33083907,2022-05-11
33083907,2022-05-18
33083907,2022-05-24
33083907,2022-06-04
33083907,2022-06-08
33083907,2022-06-10
33083907,2022-06-13
33083907,2022-06-17
33083907,2022-06-21
33083907,2022-06-27
33083907,2022-07-06
33083907,2022-07-11
33083907,2022-07-15
33083907,2022-07-29
33083907,2022-08-05
33083907,2022-08-10
33083907,2022-08-15
33083907,2022-08-22
33083907,2022-08-26
33083907,2022-08-29
33083907,2022-09-03
33083907,2022-09-19
33083907,2022-09-23
33083907,2022-09-26
33083907,2022-10-02
33083907,2022-10-07
33083907,2022-10-25
33083907,2022-11-05
33083907,2022-11-23
33083907,2022-11-27
33083907,2022-12-13
33083907,2023-01-22
33083907,2023-01-26
33083907,2023-02-17
33083907,2023-03-08
33083907,2023-03-19
33083907,2023-03-23
33083907,2023-04-03
33083907,2023-04-10
33083907,2023-04-13
33083907,2023-04-16
33083907,2023-04-22
33083907,2023-04-25
33083907,2023-05-07
33083907,2023-05-13
33083907,2023-05-15
33083907,2023-05-18
33083907,2023-05-21
33083907,2023-05-29
33083907,2023-06-02
33083907,2023-06-06
33083907,2023-06-14
33083907,2023-06-19
33083907,2023-06-25
33083907,2023-07-08
33083907,2023-07-25
33083907,2023-07-31
33083907,2023-08-03
33083907,2023-08-11
33083907,2023-08-18
33083907,2023-09-07
33083907,2023-09-23
33083907,2023-09-26
33083907,2023-11-02
33083907,2023-11-06
33083907,2023-11-10
33083907,2023-11-19
33083907,2023-11-26
33083907,2023-12-15
33083907,2023-12-19
33083907,2024-01-01
33083907,2024-01-30
33083907,2024-02-17
33083907,2024-02-20
33083907,2024-04-07
33083907,2024-05-12
33083907,2024-05-16
33083907,2024-06-01
33083907,2024-06-09
33122712,2019-03-25
33122712,2019-03-31
33122712,2019-04-04
33122712,2020-07-21
33122712,2020-07-25
33122712,2020-07-31
33122712,2020-08-08
33122712,2020-08-12
33122712,2020-08-23
33122712,2021-06-06
33122712,2021-07-07
33122712,2021-07-14
33122712,2021-07-20
33122712,2021-07-28
33122712,2021-08-05
33122712,2021-08-11
33122712,2021-08-18
33122712,2021-08-29
33122712,2021-09-02
33122712,2021-10-24
33122712,2021-11-14
33122712,2022-04-04
33122712,2022-04-10
33122712,2022-04-17
33122712,2022-05-08
33122712,2022-05-29
33122712,2022-06-12
33122712,2022-06-20
33122712,2022-06-27
33122712,2022-08-07
33122712,2022-08-09
33122712,2022-08-21
33122712,2022-08-27
33122712,2022-09-12
33122712,2022-10-03
33122712,2022-10-09
33122712,2022-10-31
33122712,2022-11-06
33122712,2022-11-14
33122712,2023-05-28
33122712,2023-06-05
33122712,2023-06-18
33122712,2023-07-02
33122712,2023-07-09
33122712,2023-07-16
33122712,2023-07-31
33122712,2023-08-07
33122712,2023-08-14
33512932,2019-12-17
33512932,2019-12-28
33512932,2020-02-06
33512932,2020-03-03
33512932,2020-03-18
33512932,2020-06-15
33512932,2020-06-23
33512932,2020-06-28
33512932,2020-08-03
33512932,2020-08-07
33512932,2020-08-13
33512932,2020-08-20
33512932,2020-08-25
33512932,2020-08-26
33512932,2020-08-28
33512932,2020-08-30
33512932,2020-09-04
33512932,2020-09-18
33512932,2020-09-27
33512932,2020-10-05
33512932,2020-10-05
33512932,2020-10-05
33512932,2020-10-09
33512932,2020-10-11
33512932,2020-10-11
33512932,2020-10-25
33512932,2020-11-09
33512932,2020-11-15
33512932,2020-11-24
33512932,2020-11-25
33512932,2020-11-29
33512932,2020-12-02
33512932,2020-12-04
33512932,2020-12-31
33512932,2021-01-17
33512932,2021-01-24
33512932,2021-02-21
33512932,2021-02-27
33512932,2021-02-27
33512932,2021-03-06
33512932,2021-03-07
